publishedAt,authorDisplayName,textDisplay
2024-02-04T18:13:57Z,@agungsetiadi2066,"Akhirnya, Prabowo yang menguasai debat terakhir, tanpa serangan yang berarti dari 01 dan 03."
2024-02-03T16:05:27Z,@lillahitaalla769,Cb di tes suruh baca Alquran pengen tau spt apa mereka klo emang muslim asli
2024-01-28T10:08:04Z,@somsceyavshow8531,Hehe Karakter anak kecil yang cawapres 02 ğŸ˜‚ğŸ˜‚ğŸ˜‚ awal kehancuran dari kesombongan
2024-01-26T19:53:16Z,@R1Ps,"Sedih melihat capres 2024 mentang2 era demokrasi, saling menjatuhkan, menjelek2kan, membongkar kekurangan lawan nya ketika menjabat di pemerintah, carmuk di depan org2 dgn segala cara di lakukan sampai2 menjatuhkan Pemimpin NKRI yg statusnya masih menjabat. Semua org tdk ada yg sempurna, pasti ada kelebihan/kekurangan. Tapi ada satu pendapat sy yg mungkin bisa membuat pikiran netizen berpikir, carilah capres yg dulu menjalani hidupnya dr susah/dari nol hingga saat ini sehingga ketika nanti dia terpilih menjadi pemimpin NKRI dia akan sadar diri/mawas diri sebagai seorang pemimpin karena dia pernah mengalami hidup yg susah jg. Tapi kalau capres yg hidup nya dr kecil sdh di berikan fasilitas dr ortunya, apapun permintaan di berikan sm ortunya tanpa mengalami bagaimana susah nya menjalani kehidupan itu yg bahaya karena dia sdh di manjakan dr kecil. Ibarat kata jika harus hidup survival di tengah laut/hutan bisa di pastikan dia lah org pertama yg akan meninggal/tdk selamat. Jadi bisa dibayangkan sendiri mana dr 3 Capres tersebut yg bisa bertahan hidup paling terakhir."
2024-01-25T20:57:19Z,@vikywulandari5331,Dari sini kelihatan yg tlol siapa ğŸ˜‚ğŸ˜‚ğŸ˜‚
2024-01-25T20:56:18Z,@vikywulandari5331,Ini hate komen smua untuk satu paslon . Apa memang akun ytube tv ini ngehapus komen pndukung yg lain?
2024-01-25T17:41:44Z,@sanjaniharahap6303,Knp bisa palson 01 dan 03 menyerang Paslon  02 .ap karna kebodohan Paslon 02 trs  terlihat di mata lwannya
2024-01-25T15:19:40Z,@adityaputra01,"Perasaan dari ke 3 paslon yg di beri pertanyaan  hanya 1 orang yang yang punya jawaban solusi hhh<br>,Debat mungkin bisa di artikan diskusi bertukar pikiran atau pendapat untuk mendapatkan suatu keputusan terabaik/solusi..<br>Di beri pertanyaan cara menangani ehh malah di perbesar masalahnya"
2024-01-25T13:44:57Z,@AkunVivo-sb6cc,Yang senior panas sama yng junior ğŸ˜‚
2024-01-25T10:03:26Z,@tatangsuherman7890,Sehasusnya pa mahpud MD punya ketegasan jadi pa mahpud lemah mengatasi korupsi ğŸ˜¢ğŸ˜¢âœŒï¸ğŸ’¯
2024-01-25T10:00:46Z,@tatangsuherman7890,Masalah koeupsi kan pa mahpud yang punya wewenang kenapa tida di atasi berarti pa Mahpud MD selama ini bekerja tida berhasil jadi menko ini bicara mempermalukan diri sendiri ga sadar yağŸ˜…ğŸ˜…ğŸ˜…ğŸ˜…
2024-01-25T09:53:41Z,@tatangsuherman7890,Kadang kadang calon peminpin berdebat bisa ga sadar juga apa yang di katakan itu mempermalukan sendiri  padahal diya sendiri yang punya kewajiban tugas itu malah di bongkar atas ketida berhasilan di kepamimpinanya sendiri kanâœŒï¸??
2024-01-25T04:54:15Z,@user-ke3qu5wb6l,haha ngajar ngaji  apa x yg terjadi ama mahfud apa yg fah loe perbuat untuk rakyat tidak ada mahfu cuma cari muka aja loe
2024-01-25T04:50:55Z,@user-ke3qu5wb6l,omong kosong loe mahfut
2024-01-25T04:47:11Z,@user-ke3qu5wb6l,haha anak TK minta bliin blon pndukung Ganjar mahfud
2024-01-24T16:14:12Z,@matthewtjoeng2145,seruan nonton radit main d&amp;d
2024-01-24T13:58:35Z,@imeldamogi,Menghabiskan Dana banyak..
2024-01-24T13:58:14Z,@imeldamogi,Orang tua tua
2024-01-24T13:07:37Z,@no_nam821,No 3 presiden 2024 .
2024-01-24T12:07:41Z,@anakrantau2896,"Serem erick tohir dikubu Prabowo + yang lain nya ibarat pro player vs trial pro player , sunguh sangat di nanti pertandingan nya 14 February nanti siapapun yg menang itulah yg terbaik pilihan rakyat"
2024-01-24T11:20:39Z,@user-uc5dk7nd6n,Hati hati ad calon yg produk Amerika...jngn sampai dia jadi...bkln semua sumber daya alam akan di kirim k US dn eropah...carilah calon yg pribumi yg akan memikirkan bangsa dan rakyat untuk maju....calon yg bukn pribumi akan mmntingkn kekuasaan SJ tanpa mmikirkn kbangkitan bangsa dn kmajuan bangsa.....ad salah satu calon yg boneka USA...mknya dia TDK setuju ikn bhkn tdak setuju hilirisasi agar US dn eropah bisa mngusai dunia dn Indonesia trus menjadi ngra yg tdak akan maju....
2024-01-24T07:51:45Z,@BeverlyCheila,Tetep All in prabowo gibranâœŒ
2024-01-24T02:35:35Z,@alihafiz4557,"Tolong kami member ATG. mohon diangkat kasus ATG. Karena putusan hakim tak sesuai fakta persidangan yg kami langsung saksikan . Faktanya ATG real dikatakan ponzi, uang member hasil keringat sendiri dan pak eahyu kenzo siap bertanggungjawab untuk WD eh malah rekeningnya di blokir. Malh di jerat TPPU. Mohon media tolong kami ungkapkan kebenaran. Agar mafia hukum tdk semena mena. Dan akan menjadikan uang kami sebagai bancakan."
2024-01-24T00:43:16Z,@blackcoffe5557,"Debatnya kurang substantif, gak jelas mana program yg mau diberikan. Lebih ke sindir menyindir, kalo begini terus mending moderator yang ngasih pertanyaan aja biar masyarakat tau apa program yg sebenernya BUKAN SALING SINDIR GAK JELAS !!"
2024-01-23T22:45:55Z,@WarmanWarman-ow4er,"Awas peringatan! buruknya mas Gibran debat jangan berpengaruh pada pemakzulan presiden, nanti semakin kacau negeri ini, biarkan jokowi sampai habis masa jabatannya. Yang akan lebih rusak lagi kalau asing masuk ke negeri kita, itu pasti kalau ada kekacauan. Ini kita jaga semua."
2024-01-23T22:45:36Z,@WarmanWarman-ow4er,"Awas peringatan! buruknya mas Gibran debat jangan berpengaruh pada pemakzulan presiden, nanti semakin kacau negeri ini, biarkan jokowi sampai habis masa jabatannya. Yang akan lebih rusak lagi kalau asing masuk ke negeri kita, itu pasti kalau ada kekacauan. Ini kita jaga semua."
2024-01-23T20:06:41Z,@aoliyuohain9707,Sigibran semakun ngco tanya pamahpuf masalah pifato perabowo dulu bilang semua masarakat tau cuman sigibran pura pura egatau aku Norton bareng aku pendukung perabowo jadi malu febat sigibran semakin ngaco bikin malu pendukung
2024-01-23T18:32:05Z,@user-mk5vo3my8u,ğŸ¤ŸğŸ¤ŸğŸ¤ŸğŸ¤ŸğŸ¤ŸğŸ¤ŸğŸ¤ŸğŸ¤ŸğŸ¤ŸğŸ¤ŸğŸ¤Ÿ
2024-01-23T17:11:37Z,@Noyriat,Tabrak prof
2024-01-23T14:27:51Z,@dudidudi2651,dari ketiga paslon<br>udah pasti yang akan<br>jadi presiden  satu <br>gitu aja ko Repot
2024-01-23T12:23:45Z,@WarmanWarman-ow4er,"Insya Allah aku ada perubahan mulai detik ini, saya malah menyukai pilihan nomor 3, setelah Gibran debat ke 4, sungguh kecewa, masa seorang calon wakil presiden merendahkan derajat seorang Mahfud Md, yg sudah berjasa besar terhadap negeri ini. Tingkah polah Gibran kekanak kanakan, Pak Mahfud jauh lebih pantas memimpin negeri ini, kedewasaannya, menguasai hawa nafsunya, pintar, santun, religius, nasionalis, dan bijak sana."
2024-01-23T12:23:35Z,@WarmanWarman-ow4er,"Insya Allah aku ada perubahan mulai detik ini, saya malah menyukai pilihan nomor 3, setelah Gibran debat ke 4, sungguh kecewa, masa seorang calon wakil presiden merendahkan derajat seorang Mahfud Md, yg sudah berjasa besar terhadap negeri ini. Tingkah polah Gibran kekanak kanakan, Pak Mahfud jauh lebih pantas memimpin negeri ini, kedewasaannya, menguasai hawa nafsunya, pintar, santun, religius, nasionalis, dan bijak sana."
2024-01-23T12:23:22Z,@rahmah6331,Bocah bocil dadi wapress ..yg milih kebangeten
2024-01-23T12:09:30Z,@WarmanWarman-ow4er,"Mulai detik ini kami berubah fikiran kemungkinan besar akan memilih nomor 3. Setelah ulah gibran mempermainkan cak imin dan pak Mahfud Md, masa calon pemimpin ulahnya seperti itu."
2024-01-23T12:07:37Z,@pilipilipoo7637,Anis muhaimin emg dasarnya suka julid sepertinya.. Wkwk ğŸ˜‚ğŸ™ yg satu suka nyinyir yg satu suka ngompor ngomporin. wkk ğŸ˜‹
2024-01-23T05:10:58Z,@wiennekesantiaji2103,Debat Cawapres yg unggul Pak Mahmud MD .Mantap pak.sukses
2024-01-23T04:42:41Z,@Rochmatun-uj1wd,Songong dan plonga plongo   ?
2024-01-23T02:51:23Z,@cobacoba3991,"Saya kutip dari amin : pembangunan berkelanjutan, bukan kekuasaan berkelanjutan !!!<br><br>Saya malu dulu pendukung keras Jokowi, setelah melihat haus kekuasaan dengan menghalalkan segala cara demi Gibran bisa jadi cawapres. Dosa besar @jokowidodo  !"
2024-01-23T02:25:44Z,@cobacoba3991,"Data import yang di berikan pak Mahfud adalah data real bukan narasi, lebih baik menyampaikan data real dari pada janji2 palsu yang membuat rakyat melayang di awan"
2024-01-22T23:51:10Z,@ZackyIbrahim-hj1yr,Si&#39;samsul&#39; tak ubahNya seperti badut yg lagi cari perhatian diatas panggung. Sangat merendahkan panggung debat capres/cawapres
2024-01-22T14:24:03Z,@adyady7654,Gibran semakin songong ğŸ‘ğŸ‘
2024-01-22T13:39:59Z,@mrakamaualana63,tak perlu byk teori dan janji yg penting BUKTI
2024-01-22T08:26:06Z,@niawalukow7528,ya ampun bapak sadar dong wktu debat capres lalu bapak nyinggung personalğŸ˜­
2024-01-22T06:43:59Z,@alwihabsyi9283,Wajarlah lah gibran memberi pertanyaan yg receh org gak paham sejarah ilmunya belum memadai sama cawaprea yg lainğŸ˜‚ğŸ˜‚
2024-01-22T06:42:33Z,@NingNurma97,CNN gak adil. Yang tukang komen ini kyaknya dr kubu 1dan3.. Dr tadi jelek2in mas gibran terus kayak e..
2024-01-22T06:40:19Z,@NingNurma97,Kayaknya yang tukang komen2 ini kubu dr 1 dan 3. Dr td kyaknya ga suka ama mas gibran
2024-01-22T06:26:25Z,@nezznezha17,"Cawapres No. 3, gak bisa selesikan masalah Mafia Tanah yg adalah tanah adat di Sulawesi Utara , apalagi klo jdi Wapres mafia tanah pasti diajak kerjasama ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£"
2024-01-22T06:08:27Z,@andinugroho9259,"Pilihlah pemimpin yg mempunyai etika, bukan arogan"
2024-01-22T05:12:11Z,@ustasmawi6565,"Jangan percaya popling bayaran tuhh cari cuan dia,ga masuk akal jika Paslon no.01 itu kalah sama no.02"
2024-01-22T04:31:47Z,@awanawin938,&quot;Perubahan &quot;is needed!!!!!!
2024-01-22T04:07:41Z,@Lwip721,Orng yang dari awal sudah melanggar etika maka tidak pantas jdi pemimpin
2024-01-22T03:57:24Z,@user-ij1ue2xv5b,Songong bgt gibran
2024-01-22T03:49:38Z,@NeverBegDown,"Org buta bercerita ttg dunianya dgn rendah hati, namun org bs melihat bercerita dgn arogan, siapa menghina akan terhina siapa merendah akan ditinggikan siapa tertawa akan bersedih...untuk kita semua jaga kata hati mata hati HATI HATI !!"
2024-01-22T03:49:20Z,@mozuconfig3222,Tengil banget si GIBRAN mentang mentang anak nya pak lurah
2024-01-22T03:46:39Z,@NingNurma97,Mas gibran tak dukung.. Balas dendam. Kemarin pak prabowo dihina diam karna gak mungkin lah orang tua balas.. Sekarang ganti pak gibran yg balas mereka2..
2024-01-22T03:40:15Z,@ratutae1579,Kita lebih pilih sopan santun tapi masyarakat kelaparan menderita. Atau tegas dan tidak pandang bulu masyarakat makmur sejahtera.
2024-01-22T03:37:20Z,@abudkom,harusnya debat menonjokan diri tanpa menjatohkan orang lain
2024-01-22T02:59:20Z,@user-oj5ov3qc1q,ni 01 satu sekolah ama gua jadi sasaran bully cok
2024-01-22T02:53:00Z,@zyxxoooo,notulen nya siapa ya?
2024-01-22T02:28:13Z,@nartijulder9316,Mimik wajah pak mahfud md...kayak gimana ....kayak tahan emosi
2024-01-22T02:21:52Z,@pacintabaka5853,Apakah negeri +62 mau di perintah oleh anak yg melanggar adab dan etika ??
2024-01-22T02:15:13Z,@nartijulder9316,Imin selalu sindir 500 ribu tanah pribadi....ğŸ˜…ğŸ˜…ğŸ˜… min itu tanah pribadi di beli dr pd jatuh d tangan asing n itupun udah d serahin ke negara buat d guna garap oleh rakyat
2024-01-22T02:09:51Z,@AaWawanAlfatehChannel,"CNN channel yg gak fear, semua tamu undangannya dari paslon 1 &amp; 3 saja gak ada yg dr paslon 2"
2024-01-22T02:01:10Z,@luckygi2583,Paslon 1 dan 3 dari awal menyerang paslon 2 . Bpk Gibran adlh simbol kedepan. <br>Sdgkan Bpk2 pejabat paslon 1 dan Paslon 3..bukankah baru mulai terlihat berPamor bersinar berkat Kepemimpinan Bpk. Jokowi . Wahai2 Bpk pejabat... kulo kawulo alit mmg minim ijazah tapi punyai skill. Masih banyak yg punyai skill yg tidak diterima bkerja dg alasan ini itu...dijaman kalian bpk2 pejabat sblm Bpk Jokowi. Skill yg dibutuhkan dilapangan..pengalaman kerja bukan ttg bicara ini itu apalgi dg tatanan etika. Bpk Gibran sdh jelas berPamor lulusan luar negeri tentu juga sdh memberikan bukti..sdh jelas buktinya. Lapanfan itu membutuhkan skill bukan TEORI.  Semangat teruus maju untuk Paslon 2 . Semangat Bpk Prabowo juga Bpk Gibran.
2024-01-22T01:58:19Z,@ernakdw8783,"Gibran seperti meremehkan lawanya2,pdhl dia yg muter2 jwbnya ğŸ˜‚"
2024-01-22T01:21:43Z,@bento987,"dari awal paslon 3  nggak sesuai konteks dan pertanyaan moderator,  tapi malah bicara  food estate bahkan terlihat  dengan paslon 01 kompak terus kritik kinerja pemerintah, wajar jika  gibran bersikap demikian,  tetapi menurut gua justru pernyataan gibranlah yang paling sesuai konteks debat karena pernyataanya selalu merupakan penjelasan tentang visi dan misinya, bukan bahas kerja orang lain.ğŸ˜ŠğŸ˜ŠğŸ˜Š"
2024-01-22T00:59:35Z,@user-vi3nr2bg9p,â¤â¤â¤â¤
2024-01-22T00:53:51Z,@titipujilestari5811,Tetap harus jaga etika dan sopan santun..sgt menyedihkan kalo punya anak yg songong
2024-01-22T00:36:53Z,@AbdulKarim-hl4te,NGERI HASIL SURVEI LIVE CHAT<br>1 : 23%<br>2 : 67%<br>3 : 10%
2024-01-22T00:29:55Z,@novashaffiraanggorowati3711,Nomer 1 sama nomer 3 terus nyerang pemerintah dan jelek2 in pemerintah ğŸ˜…ğŸ˜…ğŸ˜…
2024-01-22T00:26:22Z,@power28ify,"Iup nya dicabut, kan ilegal mana ada izin atau iup nya :)"
2024-01-22T00:25:02Z,@armiadilla7491,Cak imin top deh...01 Anies
